tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Kidney Cancer,,Advanced,,,METEOR,Phase 3,Advanced clear cell RCC progressing after ≥1 VEGFR TKI; n=658,Cabozantinib vs everolimus,"OS 21 vs 17 mo, HR 0.66 (0.53-0.83); PFS 7 vs 4 mo, HR 0.58 (0.45-0.75); ORR 21 vs 5%; grade 3-4 AEs 74 vs 65%",Bone metastases subgroup: OS HR 0.54 (0.34-0.84) (PMID 29309249). Final OS: PMID 27279544,"PFS 7.4 vs 3.8 mo, HR 0.58 (95% CI 0.45-0.75), p<0.001",26406150,,,,Kidney Cancer!15,
Kidney Cancer,,Advanced,,,CABOSUN,Phase 2,"Untreated clear cell metastatic RCC, IMDC intermediate or poor risk; n=157",Cabozantinib vs sunitinib,"PFS by independent review 9 vs 5 mo, HR 0.48 (0.31-0.74); ORR 20 vs 9%; OS 27 vs 21 mo, HR 0.80 (0.53-1.21), NS",Randomised phase 2. Independent review and OS update: PMID 29550566,"Investigator PFS 8.2 vs 5.6 mo, HR 0.66 (95% CI 0.46-0.95), one-sided p=0.012",28199818,,,,Kidney Cancer!16,
Kidney Cancer,,Advanced,,,CheckMate 214,,1st line advaned clear cell RCC,Nivo-ipi vs sunitinib,"30 mo OS 64 vs 56%, HR 0.71; CR 11 vs 2%; Int-poor OS had HR 0.66; good risk had similar OS across arms; 90% of CR were sustained","4 year OS 48 vs 26.6 mos; PFS 11 vs 8.3 mos, HR 0.74 (sig); 30% 5 year survivors; median duration of response not reached; 78% of CRs at 4 years still ongoing",,,,,,Kidney Cancer!17,
Kidney Cancer,,Advanced,,,COSMIC-313,,"1st line ccRCC, IMDC inter/poor risk",Ipi-nivo+/-cabozantinib,"PFS NR vs 11 mos, HR 0.73; better tail of the curve; benefit was seen in intermediate risk but not poor risk group",,,,,,,Kidney Cancer!18,
Kidney Cancer,,Advanced,,,KEYNOTE-426,,1st line advaned clear cell RCC,Pembro-axi VS sunitinib,"18 mo OS 82 vs 72%, HR 0.53; int-poor HR 0.52; good HR 0.64 (NS)",,,,,,,Kidney Cancer!19,
Kidney Cancer,,Advanced,,,CheckMate 9ER,,1st line clear cell RCC,Nivo-cabo vs sunitinib,OS HR 0.6; consistent across IMDC risk groups,,,,,,,Kidney Cancer!20,
Kidney Cancer,,Advanced,,,JAVELIN Renal 101,,1st line clear cell RCC,Avelumab-axi vs sunitinib,"PFS 14 vs 8 mos, HR 0.69; OS immature;",,,,,,,Kidney Cancer!21,
Kidney Cancer,,Advanced,,,Keynote 581/CLEAR,Phase 3,1st line clear cell RCC,Lenvatinib-pembro vs lenvatinib-everolimus vs sunitinib,"PFS 24 vs 9 mos, HR 0.39 for L-P vs sun; PFS 14 vs 9 mos, HR 0.53 for L-E vs S; OS HR 0.66 for L-P vs sun but NS for L-E vs sun; CR 16% with L-P",,,,,,,Kidney Cancer!22,
Kidney Cancer,,Advanced,,,KEYNOTE-B61,Phase 2,nccRCC; previously untreated,lenvatinib+pembrolizumab,ORR 48%; 6 month PFS 72%; 6 month OS 88%; med PFS 18 mos; lower activity in chromophore,,,,,,,Kidney Cancer!23,
Kidney Cancer,,Advanced,,,IMmotion 151,,1st line clear cell RCC,Atezo-bev vs sunitinib,"PFS 11 vs 8.4 mos, HR 0.83; CR 5 vs 2%; OS NS (36 mos)",,,,,,,Kidney Cancer!24,
Kidney Cancer,,Advanced,,,ASPEN,Phase 2,nccRCC (papillary; chromophobe or unclassified); untreated,Everolimus or sunitinib,"PFS 8 vs 5.6 mos, HR 1.4 favouring sunitinib; ORR 18% vs 9%; OS NS",Some variability by subtype - chromophore seemed to do better with everolimus,,,,,,Kidney Cancer!25,
Kidney Cancer,,Advanced,,,CheckMate 025,,≥2 antiangiogenic therapies,Nivo vs everolimus,"OS 25 vs 19.6 mos, HR 0.73; 5 year OS 26 vs 18%; 5 year PFS 5% vs 1%;",,,,,,,Kidney Cancer!26,
Kidney Cancer,,Advanced,,,CARMENA,,Int-poor risk metastatic RCC; non-inferiority study,Sunitinib +/- nephrectomy,"OS favoured sunitinib alone, HR 0.89, NS; Sunitinib non-inferior",Recommend against up-front nephrectomy in int and poor risk RCC; patient with 1 IMDC risk factor might still benefit; also patient with low disease burden might benefit,,,,,,Kidney Cancer!27,
Kidney Cancer,,Advanced,,,Motzer,,≥prior VEGF TKI,Lenvatinib vs eve vs len-eve,"PFS 14.6 vs 5.4 mos with combo vs eve; OS 25.5 vs 15.4 mos, HR 0.55 (NS)",,,,,,,Kidney Cancer!28,
Kidney Cancer,,Advanced,,,TIVO-3,,met RCC ≥2 prior lines,Tivozanib vs sorafenib,PFS 6 vs 4 mos; OS similar,,,,,,,Kidney Cancer!29,
Kidney Cancer,,Advanced,,,AXIS,,≥1 TKI,Axitinib vs sorafenib,PFS 5 vs 3 mos;,,,,,,,Kidney Cancer!30,
Kidney Cancer,,Advanced,,,LITESPARK-005,,"Met RCC, 1-3 prior lines, Prev TKI and IO",Belzutifan vs everolimus,PFS HR 0.74 (median similar at 5.5 mos); OS NS,,,,,,,Kidney Cancer!31,
Kidney Cancer,,Advanced,,,LITESPARK-011,,"Met RCC, post IO, <= 2 lines, prior TKI allowed",Belzutifan+lenvatinib vs cabo,"PFS 15 vs 11 mos, HR 0.7; OS 35 vs 28 mos, HR 0.85; G3 AEs 72 vs 66%",,,,,,,Kidney Cancer!32,
Lymphoma - Hodgkin,,,1st line,,GHSG HD10,,Early favorable prognosis,ABVD x 4 or 2 with 20 or 30 Gy IFRT,"ABVDx2 with 20Gy was equivalent to more treatment (5 year OS 97%, PFS 93%)",,,,,,,Lymphoma - Hodgkin!4,
Lymphoma - Hodgkin,,,1st line,,NCIC/ECOG HD.6,,!A/IIA nonbulky,ABVD x 4-6 vs ABVD x 2 +XRT,chemo had higher OS but lower DFS,This older form of XRT was more toxic,,,,,,Lymphoma - Hodgkin!5,
Lymphoma - Hodgkin,,,1st line,,EORTC H10,,Early nonbulky HL,ABVDx2->interim PET; PET - received either ABVD x 2 or XRT,Higher recurrence in PET- who received chemo and not XRT; stopped early,,,,,,,Lymphoma - Hodgkin!6,
Lymphoma - Hodgkin,,,1st line,,UKRAPID,,Early non-bulky,ABVDx3->PET- -> XRT vs observation,3 year PFS 95 vs 91% favouring RT; more death without disease progression with XRT (2.4 vs 0.9%),,,,,,,Lymphoma - Hodgkin!7,
Lymphoma - Hodgkin,,,1st line,,RATHL,,IIB-IV or IIA with adverse features,post -PET2 -> ABVD vs AVD x 4,"PFS NS (84 vs 86%), OS NS (98 vs 97%); less pulmonary events",Note that pet positive patients received 4 cycles BEACOPP,,,,,,Lymphoma - Hodgkin!8,
Lymphoma - Hodgkin,,,1st line,,GHSG HD18,,Advanced HL,post -PET2 -> eBEACOPP 4 vs 6-8,"Fewer deaths and severe infections with 4 cycles, similar PFS",,,,,"ABVD in advanced HL: 80%CR; 25% will progress, half will have long term survival with autoHSCT | BEACOPP - 80-95% CR; uo to 20% disease progression; OS difference",,Lymphoma - Hodgkin!9,
Lymphoma - Hodgkin,,,1st line,,ECHELON-1,,III/IV HL,A+AVD vs ABVD,"Modified PFS 82 vs 77%, HR 0.72; 6 year OS 94 vs 89%, HR 0.59; more neuropathy and infection, less pulm toxicity",,,,,,,Lymphoma - Hodgkin!10,
Lymphoma - Hodgkin,,,1st line,,S1826,,Stage 3/4 HL,N-AVD vs B-AVD,"2 year PFS 92% vs 83%, HR 0.45; 

in ≥60 years old, 2 year PFS 89 vs 64%, HR 0.49, 2 year OS 96 vs 85% (HR 0.15); N-AVD better tolerated",,,,,,,Lymphoma - Hodgkin!11,
Lymphoma - Hodgkin,,Relapsed,,,GHSG/EBMT,,relapsed HL,BEAM-ASCT vs dexa-BEAM,OS similar; 3 year DFS 55 vs 34%,~50% salvaged with ASCT,,,,,,Lymphoma - Hodgkin!15,
Lymphoma - Hodgkin,,Relapsed,,,Pivotal p2 BV,,Relapsed HL after autoSCT,BV up to 16 cycles,OR 75%; In CR patients 5 year PFS was 52%,,,,,,,Lymphoma - Hodgkin!16,
Lymphoma - Hodgkin,,Relapsed,,,Aethera,,"Maintenance post ASCT; at least one of primary ref cHL, relapse <12 mos after initial therapy, extranodal relapse",BV vs placebo,"5 year PFS 59 vs 11%, HR 0.52; OS NS but there was crossover; neuropathy 56 vs 16%)",,,,,,,Lymphoma - Hodgkin!17,
Lymphoma - Hodgkin,,Relapsed,,,Armand et al,Phase 2,Maintenance post ASCT,Pembro,18 mo PFS 82%; OS 100%,,,,,,,Lymphoma - Hodgkin!18,
Lymphoma - Hodgkin,,Relapsed,,,KEYNOTE 204,,post ASCT or ASCT ineligible,Pembro vs BV,"PFS 13 vs 8 mos, HR 0.65; DOR 21 vs 14 mos;",,,,,,,Lymphoma - Hodgkin!19,
Lymphoma - Hodgkin,,Relapsed,,,KEYNOTE-087,,Heavily pretreated HL,Pembro 200 q3weeks,"OR 72%, 28% CR; in CR patients 2 year PFS >60%;",High rates transplant complications in patients who get alloSCT after PD-1 blockade,,,,,,Lymphoma - Hodgkin!20,
Lymphoma - Hodgkin,,Relapsed,,,CheckMate 205,,HL post ASCT with or without prev BV,Nivo,"OR 69%, CR 18%; DOR 17 mos; PFS 15 mos",,,,,,,Lymphoma - Hodgkin!21,
Lymphoma - Hodgkin,,Relapsed,,,"ATL-30, RELY-30",,R/R HL,CD 30 CAR T cells,"OR 62%, CR 51%; 1 year PFS 36%; 72% RR in those receiving FLU based lymphodepletion",,,,,,,Lymphoma - Hodgkin!22,
Lymphoma - DLBCL,,,1st line,,ALLIANCE/CALGB 50303,,First line,DA-EPOCH-R vs RCHOP,PFS and OS NS; more toxicity with DA-EPOCH-R,,,,,,,Lymphoma - DLBCL!4,
Lymphoma - DLBCL,,,1st line,,IELSG37,,PMBCL; PET neg post RCHOP,Radiation vs observation,2 year PFS,,,,,,,Lymphoma - DLBCL!5,
Lymphoma - DLBCL,,,1st line,,FLYER,,I-II; ≤60; no adverse RFs; non-inferiority,RCHOP 4 vs 6,3 YEAR PFS 96% VS 93% (non-inferior);,,,,,,,Lymphoma - DLBCL!6,
Lymphoma - DLBCL,,,1st line,,S10001,,"I/II, nonbulky, non-randomized",PET3 adapted chemo vs XRT,Similar outcomes PET pos and neg; 5 PFS andOS 87 and 89%,,,,,,,Lymphoma - DLBCL!7,
Lymphoma - DLBCL,,,1st line,,Intergroup S9704,,"Hig-int and high risk IPI, ≥PR after chemo",CHOP(+/-R) x 8 vs 6+ASCT,2 year OS NS (74 vs 71%); in high risk IPI 2 year PFS and OS were better (75 vs 41% and 82 vs 64% respectively),,,,,,,Lymphoma - DLBCL!8,
Lymphoma - DLBCL,,,1st line,,LNH03-2B (GELA),,18-59; aaIPI=1,RACVBP vs RCHOP,"3 year EFS 81% vs 67%, OS 92% vs 84%; more toxicity with RACVBP; on further analysis benefit limited to non-GCB",Vindesine not available in US/canada;,,,,,,Lymphoma - DLBCL!9,
Lymphoma - DLBCL,,,1st line,,POLARIX,,1st line DLBCL; IPI 2-5,RCHOP vs R-CHP-polatuzumab vedotin,PFS HR 0.73; 2 year PFS 77 vs 70%; OS NS so far (HR 0.94),"Benefit in ABC group with HR 0.34 for DFS, HR 0.27 for death; no benefit in GCB",,,,,,Lymphoma - DLBCL!10,
Lymphoma - DLBCL,,,1st line,,PHOENIX,,Non-GCB DLBCL,RCHOP+/-ibrutinib,EFS/OS NS; in <60 subgroup EFS/PFS and OS improved; more toxicity with combination,,,,,,,Lymphoma - DLBCL!11,
Lymphoma - DLBCL,,,1st line,,Habermann,,≥60; maintenance post CHOP or RCHOP,Ritux vs Placebo maintenance,2 year FFS 76% vs 61%; OS NS; FFS not better in RCHOP treated patients,,,,,,,Lymphoma - DLBCL!12,
Lymphoma - DLBCL,,,1st line,,Thieblemont,,60-80 years old; PR/CR after RCHOP,Len vs Placebo maintenance,PFS HR 0.7; OS NS; more toxicity with len,,,,,,,Lymphoma - DLBCL!13,
Lymphoma - DLBCL,,,1st line,,FIRST-MIND,Phase 1b,"Untreated DLBCL, IPI 2-5; n=66",R-CHOP + tafasitamab +/- lenalidomide,End-of-treatment ORR 75.8% (CR 72.7%) with tafasitamab vs 81.8% (CR 66.7%) with tafasitamab-lenalidomide; 24-mo PFS 72.7 vs 76.8%; grade >=3 neutropenia 57.6 vs 84.8%,Both arms received tafasitamab; randomisation was +/- lenalidomide. Phase 3 frontMIND is the confirmatory study,"Safety - all pts had a TEAE, mostly grade 1-2",37369099,,,,Lymphoma - DLBCL!14,
Lymphoma - DLBCL,,Relapsed/refractory,,,PARMA,,Chemosensitive relapsed DLBCL after DHAPx2,DHAPx4 vs ASCT,5 year EFS 46 vs 12% and OS 53 vs 32%,,,,,,,Lymphoma - DLBCL!17,
Lymphoma - DLBCL,,Relapsed/refractory,,,CORAL,,R/R DLBCL,R-ICE vs R-DHAP before ASCT,"27 mos follow up Similar ORR (64%), EFS (50%), OS (50%); more toxicity with DHAP",Also showed no benefit to maintenance rituximab,,,,,,Lymphoma - DLBCL!18,
Lymphoma - DLBCL,,Relapsed/refractory,,,LY.12,,R/R DLBCL,R-GDP vs R-DHAP,"Similar ORR, EFS, OS but more toxicity with DHAP",,,,,,,Lymphoma - DLBCL!19,
Lymphoma - DLBCL,,Relapsed/refractory,,,ZUMA-1,,Refractory or relapse within 1 year autoSCT,Axi-cel,"ORR 82%, DOR 11 mos, PFS 6 months, median OS >2 years; more neurotoxicity in older patients but similar outcomes",,,,,,,Lymphoma - DLBCL!20,
Lymphoma - DLBCL,,Relapsed/refractory,,,ZUMA-7,,2nd line R/R DLBCL (refractory or relapse within 12 months RCHOP),Axi-cel vs ASCT,"EFS 8 vs 2 mos, HR 0.398; 24 mo EFS 41 vs 16%; 2 year OS 61 vs 52%; 4 year OS 55% vs 46%, HR 0.73; 4 year EFS 42 vs 24%, HR 0.51",,,,,,,Lymphoma - DLBCL!21,
Lymphoma - DLBCL,,Relapsed/refractory,,,TRANSFORM (ash 22),,2nd line DLBCL (within 12 mos RCHOP),Lisocabtagene vs ASCT,EFS NR vs 2 mos (HR 0.36); grade ≥3 CRS and neuro in 1 and 4%; OS trend for liso,,,,,,,Lymphoma - DLBCL!22,
Lymphoma - DLBCL,,Relapsed/refractory,,,BELINDA,,2nd line DLBCL (relapse within 12 months),Tisangeleucel vs ASCT,EFS 3 mos in both arms (NS);,"Imbalances in arms, some design elements may have led to negative result",,,,,,Lymphoma - DLBCL!23,
Lymphoma - DLBCL,,Relapsed/refractory,,,TRANSCEND NHL 001,,"R/R DLBCL, PMBCL, iNHL",Lisocabtagene maraleucel,"OR 73%, CR 53%; PFS 6 mos but NR in CR pts; 2 year PFS 40%, OS 50%",,,,,,,Lymphoma - DLBCL!24,
Lymphoma - DLBCL,,Relapsed/refractory,,,JULIET,,R/R DLBCL,Tisangeleucel,1 year RFS 65% (79% in CR pts); If maintain CR at 3 mos then 3 year EFS 79% and if CR at 6 months then 3 year EFS 87%,,,,,,,Lymphoma - DLBCL!25,
Lymphoma - DLBCL,,Relapsed/refractory,,,Dickinson,Phase 1,"R/R DLBCL, phase 1-2",Glofitamab,39% CR at 12 months; similar response rate in patients post CAR-T therapy; 12 month PFS 37%,,,,,,,Lymphoma - DLBCL!26,
Lymphoma - DLBCL,,Relapsed/refractory,,,STARGLO,Phase 3,R/R DLBCL; transplant ineligible,Glofitamab-gemOx vs R-GemOx,"OS 25.5 vs 13 mos, HR 0.62;",,,,,,,Lymphoma - DLBCL!27,
Lymphoma - DLBCL,,Relapsed/refractory,,,EPCORE NHL-1,Phase 1,"R/R DLBCL, phase 1-2",Epcoritamab,"ORR 63%, CR 39%.. DOR 12 mos.",,,,,,,Lymphoma - DLBCL!28,
Lymphoma - DLBCL,,Relapsed/refractory,,,Sehn,Phase 1b/2,R/R DLBCL,BR+/-polatuzumab vedotin,CR 40 vs 18%; PFS 10 vs 4 mos; OS 12 vs 5 mos,,,,,,,Lymphoma - DLBCL!29,
Lymphoma - DLBCL,,Relapsed/refractory,,,Bartlett,,R/R CD30+DLBCL (subset of study),Brentuximab vedotin (+/-ritux),"Or 44%, CR 17%",,,,,,,Lymphoma - DLBCL!30,
Lymphoma - DLBCL,,Relapsed/refractory,,,Viardot,,R/R DLBCL,Blinatumomab,"OR 43%, CR 19%",,,,,,,Lymphoma - DLBCL!31,
Lymphoma - DLBCL,,Relapsed/refractory,,,L-MIND,Phase 2,"R/R DLBCL, phase 2 single arm",Tafasitamab-lenalidomide,CR 43%,FDA approved combination for R/R DLBCL ineligible for ASCT; anti-CD19 mAb with enhanced ADCC,,,,,,Lymphoma - DLBCL!32,
Lymphoma - DLBCL,,Relapsed/refractory,,,LOTIS-2,,R/R DLBCL,Loncastuximab tesirine,"ORR 48%, CR 24%, PFS 5 mos, IS 10 mos",,,,,,,Lymphoma - DLBCL!33,
Lymphoma - DLBCL,,Relapsed/refractory,,,SADAL,,Heavily pretreated DLBCL,Selinexor,"OR 28%, CR 12%, DOR 9 mos but 23 mos in CR patients;",FDA approved for R/R DLBCL after ≥2 lines of therapy,,,,,,Lymphoma - DLBCL!34,
Lymphoma - DLBCL,,Relapsed/refractory,,,Advani,,Phase 1b R/R NHL including DLBCL,Hu5F9-G4 (blocks CD47 macrophage immune checkpoint),"OR 50%, CR 36% (lower in DLBCL than FL)",,,,,,,Lymphoma - DLBCL!35,
Indolent Lymphoma,Follicular lymphoma,,1st line,,W&W,Phase 3,asymptomatic low burden FL,"Rituximab induction, Rituximab maintenance, Watchful waiting","TTNT: 2.7 years (WW), 9.9 years RI, NR for RM
OS NS (76/80/82%); transformation NS",,,,,,,Indolent Lymphoma!5,
Indolent Lymphoma,Follicular lymphoma,,1st line,,StiL,,"II-IV FL, iNHL, MCL",BR vs RCHOP,"PFS 69.5 vs 31.2 mos, HR 0.58; less toxic; OS NS at 10 years;",,,,,,,Indolent Lymphoma!6,
Indolent Lymphoma,Follicular lymphoma,,1st line,,BRIGHT,,"II-IV FL, iNHL, MCL",BR vs RCHOP,"5 year PFS 66 vs 56%, HR 0.61; OS NS",,,,,,,Indolent Lymphoma!7,
Indolent Lymphoma,Follicular lymphoma,,1st line,,GALLIUM,,II-IV FL,Chemo with R vs O,"ORR/CR NS; 3 year PFS 83 vs 79%, HR 0.68; 3 year OS NS (94%); more grade 3-5 toxicity with Obi 75 vs 68%;",Higher rate fatal events with benda backbone (4% vs 2% with CHOP or CVP). Most benda deaths occurred during maintenance,,,,,,Indolent Lymphoma!8,
Indolent Lymphoma,Follicular lymphoma,,1st line,,FOLL-05,,II-IV FL,RCHOP vs RCVP vs RFM,R-CHOP and R-FM superior to R-CVP for PFS; more toxicity with R-FM,,,,,,,Indolent Lymphoma!9,
Indolent Lymphoma,Follicular lymphoma,,1st line,,SWOG S0016,,"II-IV FL, 1st line",RCHOP vs RIT-CHOP,PFS/OS NS; more deaths MDS/AML with 131-I tositumomab,,,,,,,Indolent Lymphoma!10,
Indolent Lymphoma,Follicular lymphoma,,1st line,,RELEVANCE,Phase 3,Untreated advanced follicular lymphoma (grade 1-3a); n=1030,Lenalidomide-rituximab vs R-chemo,"At median 6 y: PFS 60 vs 59%, HR 1.03; OS 89% both; more rash, diarrhea, tumor flare; less neutropenia, febrile neutropenia, neuropathy",Also similar transformation rates and 2nd primary malignancy rates; 6-y update: PMID 35947804,"CR/CRu at 120 wk 48 vs 53%, p=0.13; interim 3-y PFS 77 vs 78% - superiority not shown",30184451,,,,Indolent Lymphoma!11,
Indolent Lymphoma,Follicular lymphoma,,1st line,,PERSPECTIVE,,"1st line FL, elderly/unfit OR low tumour burden",Rituximab +/- Ibrutinib,Ongoing,,,,,,,Indolent Lymphoma!12,
Indolent Lymphoma,Follicular lymphoma,,Maintenance,,PRIMA,,Post 1st line FL with response,Ritux q8 weeks x 2 years vs placebo,3 year PFS 75 vs 58%; PFS 10.5 vs 4 years; more grade 3/4 events 24 vs 17%; 10 year OS NS (80%),,,,,,,Indolent Lymphoma!15,
Indolent Lymphoma,Follicular lymphoma,,Maintenance,,Vidal meta-analysis,,7 trials reviewed,MR vs placebo,OS HR 0.79; more AEs with maintenance esp infection including g 3/4 infection; benefit after BR uncleal,,,,,,,Indolent Lymphoma!16,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,GADOLIN,,Ritux refractory NHL,BO+O maint vs B,"PFS 26 vs 14 mos, HR 0.67",COMPLEMENT A+B study looking at benda+/-ofatumumab was negative; reason for difference between studies unclear,,,,,,Indolent Lymphoma!18,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,GAUDI,,Different Obi schedules,O-CHOP or O-FC,"ORR O-CHOP 96%, CR 39%;",,,,,,,Indolent Lymphoma!19,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,AUGMENT (ASH ’22 update),,R/R FL or MZL,Lenalidomide-rituximab vs rituximab,"PFS 39 vs 14 mos, HR 0.46; 5 year OS 83 vs 77%, HR 0.59; more infection and rash",,,,,,,Indolent Lymphoma!20,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,Gopal,Phase 2,iNHL; relapse within 6 months,Idela,"PFS 11 mos; ORR 57%, DOR 12.5 mos; OS 20 mos",,,,,,,Indolent Lymphoma!21,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,CHRONOS-3,Phase 3,Phase 3 iNHL,Rituximab +/- copanlisib,"PFS 22 vs 13 mos, HR 0.52",,,,,,,Indolent Lymphoma!22,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,DYNAMO,,"INH:, ref to ritux with chemo or RIT",Duvelisib,"In FL, ORR 42%, PFS 9.5 mos, OS 28.9 mos; 31% discontinued due to toxicity",,,,,,,Indolent Lymphoma!23,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,Morschhauser,Phase 1/2,R/R EZH2 mutant FL,Tazemetostat,"ORR 69%, DOR 11 mos in EZH2 mutant FL; in EZH wt FL ORR was 34%, DOR 13 mos;",Oral inhibitor of EZH2; EZH2 mutations present in 20% of FL,,,,,,Indolent Lymphoma!24,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,ROSEWOOD,Phase 2,R/R FL; ≥2 lines of therapy,Obinutuzumab +/- zanubrutinib,ORR 69 vs 46%; PFS 28 vs 10 mos,,,,,,,Indolent Lymphoma!25,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,Witzig,,"R/R FL, transformed CD20+ NHL",Ibritumomab-tiuxetan (zevalin) vs rituximab,ORR 80% vs 56%; PFS < 1year but CR patients PFS ~4 years; can have prolonged cytopenias; ?increased risk MDS/AML,,,,,,,Indolent Lymphoma!26,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,Budde,,R/R FL ≥2 prior therapies,Mosunetuzumab,CR in 60%; PR 20%; DOR 23 mos; grade 3-4 70%,,,,,,,Indolent Lymphoma!27,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,ELM-2,Phase 2,R/R FL ≥2 prior therapies,Odronextamab,ORR 81% and CR 75%; DOR 18 mos; PFS 20 months; with step up regimen no grade ≥2 CRS seen,,,,,,,Indolent Lymphoma!28,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,ZUMA-5,Phase 2,R/R iNHL (FL an MZL); ≥2 prior lines,Axicabtagene,"ORR 96%, CR 74% of responders; PFS 42 mos FL, NR MZL",Led to FDA approval CAR-T in R/R FL Mar 2021,,,,,,Indolent Lymphoma!29,
Indolent Lymphoma,Follicular lymphoma,Relapsed/refractory,,,ELARA,,">=2 prior lines, FL, single arm",tisa-cel,ORR 77%; 1 year PFS 71%,,,,,,,Indolent Lymphoma!30,
Indolent Lymphoma,Waldenstrom,,,,StiL,,"1st line (also with FL, MCL, iNHL)",BR vs RCHOP,"In WM patients PFS 70 vs 28 mos, ORR 95%",,,,,,,Indolent Lymphoma!33,
Indolent Lymphoma,Waldenstrom,,,,Dimopoulos,,1st line,Bortezomib-dex-rituximab,"ORR 85%, CR 3%; PFS 42 mos, median DOR in ≥PR 64.5 mos; 3 year OS 81%; neuropathy 46%, grade ≥3 7%",,,,,,,Indolent Lymphoma!34,
Indolent Lymphoma,Waldenstrom,,,,Buske,Phase 3,First line WM,DRC+/-bortezomib,24 mo PFS NS (?) (81 vs 73%); better quality responses with bortezomib,,,,,,,Indolent Lymphoma!35,
Indolent Lymphoma,Waldenstrom,,,,MAINTAIN,,Post BR with at least PR,Rituximab maintenance vs placebo,PFS NS (101 vs 83 months); Os Immature,Maintenance rituximab should not be recommended after BR in WM,,,,,,Indolent Lymphoma!36,
Indolent Lymphoma,Waldenstrom,,,,INNOVATE,,1st line and relapsed WM,Ibrutinib-rituximab vs rituximab,"PFS NR vs 20 mos, HR 0.25); major response 72 vs 32%;",No data on single agent ibrutinib vs I-R,,,,,,Indolent Lymphoma!37,
Indolent Lymphoma,Waldenstrom,,,,ASPEN,,WM (MYD mutated); proportion CR/VGPR primary endpoint,Zanubrutinib vs ibrutinib,CR/VGPR 36 vs 22%; PFS 78 vs 70% at 42 mos; Similar ORR; less a fib (24 vs 8%) and bleeding,Less CR/VGPR in MYD wt cohort and in CXCR4 cohort notable,,,,,,Indolent Lymphoma!38,
Indolent Lymphoma,Waldenstrom,,,,Owen,Phase 2,"Waldenstrom, treatment-naive (n=14) or relapsed/refractory (n=92), no prior BTKi",Acalabrutinib,"ORR 93% in both groups (no CR); 24-mo PFS 90%, OS 92%",,ORR (minor response or better) 93% treatment-naive and 93% relapsed/refractory,31866281,,,,Indolent Lymphoma!39,
Indolent Lymphoma,Marginal zone lymphoma,,,,Noy,Phase 2,R/R MZL; prev anti-CD20 therapy,Ibrutinib,ORR 48%; DOR NR after 19.4 mos; PFS 14 mos,,,,,,,Indolent Lymphoma!43,
Indolent Lymphoma,Marginal zone lymphoma,,,,MAGNOLIA,Phase 2,R/R MZL,Zanubrutinib,ORR 68%; CR 24%; DOR NR; 85% responders still responding at 12 mos,,,,,,,Indolent Lymphoma!44,
Indolent Lymphoma,Marginal zone lymphoma,,,,CITADEL-204,Phase 2,R/R MZL,Paraclisib,"ORR 58%; ≥3 grade AE in 63%, diarrhea most common",,,,,,,Indolent Lymphoma!45,
Indolent Lymphoma,Mantle cell,,,,StiL,,"1st line (also with FL, MCL, iNHL)",BR vs RCHOP,"PFS 69.5 vs 31.2 mos, HR 0.58; less toxic; OS NS at 10 years;",,,,,,,Indolent Lymphoma!48,
Indolent Lymphoma,Mantle cell,,,,Hermine,,"II-IV MCL, ≤65 yo, untreated, pre-ASCT",RCHOP vs RCHOP+DHAP followed by ASCT,"TTF 9.1 vs 3.9 years, HR 0.56; increased toxicity with RDHAP",Authors felt alternating RCHO/RDHAP should be new standard in youmger patients,,,,,,Indolent Lymphoma!49,
Indolent Lymphoma,Mantle cell,,,,SHINE,Phase 3,≥65; first line,BR+/- ibrutinib,"PFS 81 vs 53 mos, HR 0.75); OS NS (7 year OS ~55%)",,,,,,,Indolent Lymphoma!50,
Indolent Lymphoma,Mantle cell,,,,ACE-LY-308,Phase 3,first line,BR+/-acala,"PFS 66 vs 50 mos, HR 0.73; OS NS",,,,,,,Indolent Lymphoma!51,
Indolent Lymphoma,Mantle cell,,,,Kluin-Nelemens,,"II-IV MCL not eligible for ASCT; first randomized to chemo, second randomization to rituximab maintenance",Rituximab vs IFN-a maintenance,4 year OS 87 vs 63%; PFS HR 0.55,,,,,,,Indolent Lymphoma!52,
Indolent Lymphoma,Mantle cell,,,,Jain et al,Phase 2,MCL; elderly; 1st line,IR,"ORR 96%; 3 year PFS 87%, OS 94%",,,,,,,Indolent Lymphoma!53,
